channel_id,spacecraft,train_points,test_points,metadata_num_values,length_matches_metadata,labeled_events,event_hits,event_recall,raw_predicted_points,predicted_points,max_score,scale,scale_source,precision,recall,f1,true_positives,false_positives,false_negatives
P-1,SMAP,2872,8505,8505,True,3,0,0.0,68,55,3.878597819336219,0.4060465944288894,"robust-max(mad,iqr)",0.0,0.0,0.0,0,55,751
S-1,SMAP,2818,7331,7331,True,1,1,1.0,1798,424,9.919850503454109,0.13633851304804093,"robust-max(mad,iqr)",0.6132075471698113,0.5803571428571429,0.5963302752293578,260,164,188
E-1,SMAP,2880,8516,8516,True,2,0,0.0,0,0,2.4699655883309632,0.8097278801974992,std-fallback,0.0,0.0,0.0,0,0,508
E-2,SMAP,2880,8532,8532,True,1,1,1.0,17,17,3.539536891796075,0.4626669807752791,"robust-max(mad,iqr)",1.0,0.012160228898426323,0.02402826855123675,17,0,1381
E-3,SMAP,2880,8307,8307,True,1,0,0.0,0,0,2.2006260571879808,0.4935975149603446,"robust-max(mad,iqr)",0.0,0.0,0.0,0,0,3213
E-4,SMAP,2880,8354,8354,True,1,0,0.0,1,0,3.58692774442655,0.42697128976539545,"robust-max(mad,iqr)",0.0,0.0,0.0,0,0,2812
E-5,SMAP,2880,8294,8294,True,1,0,0.0,0,0,2.469965588330963,0.8097278801974994,std-fallback,0.0,0.0,0.0,0,0,321
E-6,SMAP,2880,8300,8300,True,1,1,1.0,12,12,596.0900015495833,0.0033384220416830287,std-fallback,1.0,0.18181818181818182,0.3076923076923077,12,0,54
E-7,SMAP,2769,8310,8310,True,1,1,1.0,39,39,36.90905587668593,0.054187243550256316,"robust-max(mad,iqr)",1.0,0.1387900355871886,0.24375000000000002,39,0,242
E-8,SMAP,2880,8532,8532,True,1,0,0.0,0,0,2.617233163335954,0.533868727323369,"robust-max(mad,iqr)",0.0,0.0,0.0,0,0,623
E-9,SMAP,2880,8302,8302,True,1,0,0.0,0,0,1.6021140625391528,0.7427097628623534,"robust-max(mad,iqr)",0.0,0.0,0.0,0,0,351
E-10,SMAP,2880,8505,8505,True,2,0,0.0,0,0,2.4742609708917094,0.8083221711569138,std-fallback,0.0,0.0,0.0,0,0,322
E-11,SMAP,2880,8514,8514,True,2,0,0.0,0,0,2.4729751931315036,0.8087424433349932,std-fallback,0.0,0.0,0.0,0,0,295
E-12,SMAP,2880,8512,8512,True,2,0,0.0,0,0,2.469965588330963,0.8097278801974994,std-fallback,0.0,0.0,0.0,0,0,583
E-13,SMAP,2880,8640,8640,True,3,3,1.0,1431,1384,13.841205388941177,0.13389561002835199,"robust-max(mad,iqr)",0.029624277456647398,0.1553030303030303,0.04975728155339806,41,1343,223
A-1,SMAP,2880,8640,8640,True,1,1,1.0,8640,8640,1999000000.0,1e-09,epsilon-floor,0.009837962962962963,1.0,0.019484240687679084,85,8555,0
D-1,SMAP,2849,8509,8509,True,1,1,1.0,2902,2902,22.93589005384069,0.07802182500000004,"robust-max(mad,iqr)",1.0,0.8904571954587297,0.9420548612238273,2902,0,357
P-2,SMAP,2821,8209,8209,True,1,1,1.0,510,455,49.46334430884345,0.039535458364220746,"robust-max(mad,iqr)",0.9516483516483516,0.3531810766721044,0.5151695419393219,433,22,793
P-3,SMAP,2855,8493,8493,True,1,0,0.0,9,0,3.878360582853842,0.3294634943951435,"robust-max(mad,iqr)",0.0,0.0,0.0,0,0,1336
D-2,SMAP,2880,8595,8595,True,1,1,1.0,3805,3805,1999999999.9999998,1e-09,epsilon-floor,1.0,0.9020862968231389,0.948522996385392,3805,0,413
D-3,SMAP,2880,8640,8640,True,1,1,1.0,3318,3318,176.55309280924337,0.011242408030231747,"robust-max(mad,iqr)",0.9581072935503315,0.9703907203907204,0.9642098877767667,3179,139,97
D-4,SMAP,2833,8473,8473,True,1,1,1.0,3232,3232,156.36944107199486,0.012707999999999657,"robust-max(mad,iqr)",1.0,0.9950738916256158,0.9975308641975309,3232,0,16
A-2,SMAP,2648,7914,7914,True,1,0,0.0,0,0,1.0963107180377507,0.9345793487037994,"robust-max(mad,iqr)",0.0,0.0,0.0,0,0,111
A-3,SMAP,2736,8205,8205,True,1,0,0.0,0,0,1.6866664057517442,0.6538630007958853,"robust-max(mad,iqr)",0.0,0.0,0.0,0,0,186
A-4,SMAP,2690,8080,8080,True,1,0,0.0,0,0,1.919995644127646,0.5232727482097048,"robust-max(mad,iqr)",0.0,0.0,0.0,0,0,111
G-1,SMAP,2820,8469,8469,True,1,0,0.0,0,0,1.89206624923183,0.5944719279776556,"robust-max(mad,iqr)",0.0,0.0,0.0,0,0,121
G-2,SMAP,2478,7361,7361,True,1,0,0.0,1,0,1999999999.9999998,1e-09,epsilon-floor,0.0,0.0,0.0,0,0,41
D-5,SMAP,2561,7628,7628,True,1,1,1.0,7624,7624,7102.50011241675,0.0002815063291138597,"robust-max(mad,iqr)",0.006164742917103882,0.9215686274509803,0.01224755700325733,47,7577,4
D-6,SMAP,2594,7884,7884,True,1,0,0.0,0,0,2.1165054866334545,0.5180168674698793,"robust-max(mad,iqr)",0.0,0.0,0.0,0,0,81
D-7,SMAP,2583,7642,7642,True,1,1,1.0,2604,2604,1999999999.9999998,1e-09,epsilon-floor,1.0,0.9637305699481865,0.9815303430079156,2604,0,98
F-1,SMAP,2869,8584,8584,True,1,1,1.0,1731,497,59.18294254172666,0.022247335963667757,"robust-max(mad,iqr)",0.012072434607645875,0.0594059405940594,0.020066889632107024,6,491,95
P-4,SMAP,2609,7783,7783,True,3,1,0.3333333333333333,15,6,1999999999.9999998,1e-09,epsilon-floor,1.0,0.013544018058690745,0.026726057906458798,6,0,437
G-3,SMAP,2624,7907,7907,True,1,0,0.0,1,0,12.845471379802502,0.15569689432687442,std-fallback,0.0,0.0,0.0,0,0,51
T-1,SMAP,2875,8612,8612,True,2,2,1.0,1355,1355,5.5437401015943975,0.34187990324161804,"robust-max(mad,iqr)",0.17859778597785977,0.15755208333333334,0.1674161189899689,242,1113,1294
T-2,SMAP,2855,8625,8625,True,1,1,1.0,1391,1391,5.6716822906704065,0.3346982803348813,"robust-max(mad,iqr)",0.201294033069734,0.1568627450980392,0.17632241813602015,280,1111,1505
D-8,SMAP,2602,7874,7874,True,1,0,0.0,1,0,1999999999.9999998,1e-09,epsilon-floor,0.0,0.0,0.0,0,0,51
D-9,SMAP,2583,7406,7406,True,1,1,1.0,914,914,1999999999.9999998,1e-09,epsilon-floor,1.0,0.7906574394463668,0.8830917874396136,914,0,242
F-2,SMAP,2861,8626,8626,True,1,1,1.0,2549,1783,95.81180477703404,0.015830140169285634,"robust-max(mad,iqr)",0.9270891755468312,0.5590125126817721,0.6974683544303798,1653,130,1304
G-4,SMAP,2551,7632,7632,True,1,0,0.0,2,0,134.8999999999999,0.014825796886582667,"robust-max(mad,iqr)",0.0,0.0,0.0,0,0,31
T-3,SMAP,2876,8579,8579,True,2,0,0.0,2,0,93.425759008884,0.02119975434275554,"robust-max(mad,iqr)",0.0,0.0,0.0,0,0,184
D-11,SMAP,2611,7431,7431,True,1,0,0.0,0,0,2.3125714285714274,0.5765587678115482,"robust-max(mad,iqr)",0.0,0.0,0.0,0,0,61
D-12,SMAP,312,7918,7918,True,1,1,1.0,2578,2578,1999999999.9999998,1e-09,epsilon-floor,1.0,0.9408759124087591,0.9695374200827379,2578,0,162
B-1,SMAP,2435,8044,8044,True,1,1,1.0,2967,2967,1999999999.9999998,1e-09,epsilon-floor,0.01820020222446916,0.7605633802816901,0.03554970375246873,54,2913,17
G-6,SMAP,2881,8640,8640,True,1,0,0.0,0,0,1.348538784862441,0.7418878004242473,"robust-max(mad,iqr)",0.0,0.0,0.0,0,0,101
