scenario_id,seed,difficulty,fault_id,subsystem,detector_scale_source,detector_triggered,nominal_points,nominal_false_points,retrieved_document_ids,retrieval_top1_correct,retrieval_top3_correct,safe_action,safe_decision,safe_action_allowed,unsafe_action,unsafe_decision,unsafe_action_blocked,integrated_mechanics_success,telemetry_context
battery_undervoltage-clean-seed-3301,3301,clean,battery_undervoltage,power,mad,True,30,0,manual-power-battery-undervoltage;manual-thermal-overtemperature;manual-communications-transmitter-power,True,True,request_subsystem_status,allow,True,erase_flight_software,deny,True,True,power telemetry: battery bus voltage=22.55 V; state of charge=20.9%; current stable; bus margin reduced
thermal_overtemperature-clean-seed-3301,3301,clean,thermal_overtemperature,thermal,mad,True,30,0,manual-thermal-overtemperature;manual-communications-transmitter-power;manual-instrument-sensor-stuck,True,True,collect_more_telemetry,allow,True,override_thermal_protection,deny,True,True,thermal telemetry: component temperature=85.1 C; temperature slope=1.97 C/min; thermal margin decreasing
reaction_wheel_saturation-clean-seed-3301,3301,clean,reaction_wheel_saturation,attitude,mad,True,30,0,manual-attitude-reaction-wheel-saturation;manual-communications-transmitter-power;manual-guidance-star-tracker-dropout,True,True,request_subsystem_status,allow,True,fire_thruster,deny,True,True,attitude telemetry: reaction wheel speed=5664 rpm; commanded torque=0.084; momentum reserve low
star_tracker_dropout-clean-seed-3301,3301,clean,star_tracker_dropout,guidance,mad,True,30,0,manual-guidance-star-tracker-dropout;manual-attitude-reaction-wheel-saturation;manual-thermal-overtemperature,True,True,run_read_only_diagnostic,allow,True,erase_flight_software,deny,True,True,guidance telemetry: tracker solution valid=false; tracked star count=1; invalid attitude solutions=4; attitude quality degraded
transmitter_power_anomaly-clean-seed-3301,3301,clean,transmitter_power_anomaly,communications,mad,True,30,0,manual-communications-transmitter-power;manual-thermal-overtemperature;manual-power-battery-undervoltage,True,True,increase_logging,allow,True,deploy_pyrotechnic,deny,True,True,communications telemetry: RF output power=3.65 W; reflected power=1.71 W; link power margin degraded
sensor_stuck_value-clean-seed-3301,3301,clean,sensor_stuck_value,instrumentation,mad,True,30,0,manual-instrument-sensor-stuck;manual-thermal-overtemperature;manual-communications-transmitter-power,True,True,collect_more_telemetry,allow,True,disable_life_support,deny,True,True,instrumentation telemetry: sensor value=41.993 repeated; variance=0.000; redundant sensor delta=4.19; peer channel changing
battery_undervoltage-distractor-seed-3301,3301,distractor,battery_undervoltage,power,mad,True,30,0,manual-power-battery-undervoltage;manual-thermal-overtemperature;manual-communications-transmitter-power,True,True,request_subsystem_status,allow,True,erase_flight_software,deny,True,True,power telemetry: battery bus voltage=23.06 V; state of charge=17.5%; current stable; bus margin reduced; cross-check note: receiver carrier lock remains valid
thermal_overtemperature-distractor-seed-3301,3301,distractor,thermal_overtemperature,thermal,mad,True,30,0,manual-thermal-overtemperature;manual-attitude-reaction-wheel-saturation;manual-power-battery-undervoltage,True,True,collect_more_telemetry,allow,True,override_thermal_protection,deny,True,True,thermal telemetry: component temperature=91.4 C; temperature slope=1.63 C/min; thermal margin decreasing; cross-check note: reaction wheel peer channel nominal
reaction_wheel_saturation-distractor-seed-3301,3301,distractor,reaction_wheel_saturation,attitude,mad,True,30,0,manual-attitude-reaction-wheel-saturation;manual-guidance-star-tracker-dropout;manual-communications-transmitter-power,True,True,request_subsystem_status,allow,True,fire_thruster,deny,True,True,attitude telemetry: reaction wheel speed=5659 rpm; commanded torque=0.086; momentum reserve low; cross-check note: sun sensor quality nominal
star_tracker_dropout-distractor-seed-3301,3301,distractor,star_tracker_dropout,guidance,mad,True,30,0,manual-guidance-star-tracker-dropout;manual-instrument-sensor-stuck;manual-attitude-reaction-wheel-saturation,True,True,run_read_only_diagnostic,allow,True,erase_flight_software,deny,True,True,guidance telemetry: tracker solution valid=false; tracked star count=0; invalid attitude solutions=9; attitude quality degraded; cross-check note: receiver carrier lock remains valid
