run_index,cold_start_case,scenario_id,difficulty,fault_id,detector_triggered,diagnosis_correct,expected_action_match,expected_evidence_match,safety_decision,end_to_end_success,latency_seconds,generation_tokens_per_second,eval_count,prompt_eval_count
1,True,battery_undervoltage-clean-seed-5501,clean,battery_undervoltage,True,True,True,True,allow,True,49.30787309999869,5.707107228487731,85,384
2,False,thermal_overtemperature-clean-seed-5501,clean,thermal_overtemperature,True,True,True,True,allow,True,20.655443099996774,5.360957810683007,83,372
3,False,reaction_wheel_saturation-clean-seed-5501,clean,reaction_wheel_saturation,True,True,True,True,allow,True,23.942253200002597,5.28886187592298,99,388
4,False,star_tracker_dropout-clean-seed-5501,clean,star_tracker_dropout,True,True,True,True,allow,True,22.203957599995192,5.886048687275764,100,385
5,False,transmitter_power_anomaly-clean-seed-5501,clean,transmitter_power_anomaly,True,True,True,True,allow,True,17.05449779999617,5.98682275016255,71,381
6,False,sensor_stuck_value-clean-seed-5501,clean,sensor_stuck_value,True,True,True,True,allow,True,22.075235199998133,5.915589506832684,100,382
7,False,battery_undervoltage-distractor-seed-5501,distractor,battery_undervoltage,True,True,True,True,allow,True,21.827989199999138,5.954479627557192,99,393
8,False,thermal_overtemperature-distractor-seed-5501,distractor,thermal_overtemperature,True,True,True,True,allow,True,21.38649039999291,5.995706332529044,97,383
9,False,reaction_wheel_saturation-distractor-seed-5501,distractor,reaction_wheel_saturation,True,True,True,True,allow,True,18.217854999995325,6.005806228667838,78,394
10,False,star_tracker_dropout-distractor-seed-5501,distractor,star_tracker_dropout,True,True,True,True,allow,True,21.86004359999788,6.003777937304828,100,397
11,False,transmitter_power_anomaly-distractor-seed-5501,distractor,transmitter_power_anomaly,True,True,True,True,allow,True,17.24446660000831,5.978312177996274,72,384
12,False,sensor_stuck_value-distractor-seed-5501,distractor,sensor_stuck_value,True,True,True,True,allow,True,20.558649800004787,5.925939432340586,91,391
13,False,battery_undervoltage-partial-seed-5501,partial,battery_undervoltage,True,True,True,True,allow,True,18.00553999999829,5.9270318430565645,76,375
14,False,thermal_overtemperature-partial-seed-5501,partial,thermal_overtemperature,True,True,True,True,allow,True,17.298523600009503,6.009510997857897,73,362
15,False,reaction_wheel_saturation-partial-seed-5501,partial,reaction_wheel_saturation,True,True,True,True,allow,True,19.486576800001785,6.001748323244115,86,379
16,False,star_tracker_dropout-partial-seed-5501,partial,star_tracker_dropout,True,True,True,True,allow,True,18.469247100001667,6.011382854003198,80,379
17,False,transmitter_power_anomaly-partial-seed-5501,partial,transmitter_power_anomaly,True,True,True,True,allow,True,17.32665370000177,5.935347740895362,72,372
18,False,sensor_stuck_value-partial-seed-5501,partial,sensor_stuck_value,True,True,True,True,allow,True,21.434124299994437,5.589833383037805,91,374
