run_index,cold_start_case,scenario_id,difficulty,fault_id,detector_triggered,diagnosis_correct,expected_action_match,expected_evidence_match,safety_decision,end_to_end_success,latency_seconds,generation_tokens_per_second,eval_count,prompt_eval_count
1,True,battery_undervoltage-clean-seed-5502,clean,battery_undervoltage,True,True,True,True,allow,True,47.53190020000329,5.572196805694544,83,384
2,False,thermal_overtemperature-clean-seed-5502,clean,thermal_overtemperature,True,True,True,True,allow,True,20.2805526000011,5.50363243055858,83,372
3,False,reaction_wheel_saturation-clean-seed-5502,clean,reaction_wheel_saturation,True,True,True,True,allow,True,24.06054540000332,5.257048148348164,99,388
4,False,star_tracker_dropout-clean-seed-5502,clean,star_tracker_dropout,True,True,True,True,allow,True,24.77175429998897,5.113581596015292,100,385
5,False,transmitter_power_anomaly-clean-seed-5502,clean,transmitter_power_anomaly,True,True,True,True,allow,True,19.06572079999023,5.200416842301116,72,381
6,False,sensor_stuck_value-clean-seed-5502,clean,sensor_stuck_value,True,True,True,True,allow,True,21.78981279999425,5.5593813230409035,92,382
7,False,battery_undervoltage-distractor-seed-5502,distractor,battery_undervoltage,True,True,True,True,allow,True,22.6142233999999,5.413367320065862,94,395
8,False,thermal_overtemperature-distractor-seed-5502,distractor,thermal_overtemperature,True,True,True,True,allow,True,22.66729340000893,5.282357208267325,92,383
9,False,reaction_wheel_saturation-distractor-seed-5502,distractor,reaction_wheel_saturation,True,True,True,True,allow,True,22.812538199999835,5.6401184014673875,99,398
10,False,star_tracker_dropout-distractor-seed-5502,distractor,star_tracker_dropout,True,True,True,True,allow,True,22.445710200001486,5.7992500293877,100,394
11,False,transmitter_power_anomaly-distractor-seed-5502,distractor,transmitter_power_anomaly,True,True,True,True,allow,True,17.935359099996276,5.895787012100041,75,392
12,False,sensor_stuck_value-distractor-seed-5502,distractor,sensor_stuck_value,True,True,True,True,allow,True,23.263216599996667,5.869859456736754,106,405
13,False,battery_undervoltage-partial-seed-5502,partial,battery_undervoltage,True,True,True,True,allow,True,20.808419799999683,5.827188637622507,91,375
14,False,thermal_overtemperature-partial-seed-5502,partial,thermal_overtemperature,True,True,True,True,allow,True,17.791630599997006,5.775199489630589,73,362
15,False,reaction_wheel_saturation-partial-seed-5502,partial,reaction_wheel_saturation,True,True,True,True,allow,True,20.06521070000599,5.770137966011606,86,379
16,False,star_tracker_dropout-partial-seed-5502,partial,star_tracker_dropout,True,True,True,True,allow,True,18.98095190001186,5.7886940004455845,80,379
17,False,transmitter_power_anomaly-partial-seed-5502,partial,transmitter_power_anomaly,True,True,True,True,allow,True,17.66212480000104,5.778090044310728,72,372
18,False,sensor_stuck_value-partial-seed-5502,partial,sensor_stuck_value,True,True,True,True,allow,True,24.480291900006705,5.739214735821619,111,374
